GDP,EC,Co2 Emission,Coal_consumption,Oil consumption,GiNi
113676000000.0,2.45,163.8,0.3,34.5,41.5
126669000000.0,2.61,171.2,0.32,36.7,43.1
126392000000.0,2.65,168.2,0.33,34.2,42.8
120296000000.0,2.78,174.5,0.37,33.5,42.349999999999994
134301000000.0,3.07,189.4,0.39,37.4,41.9
152281000000.0,3.32,200.3,0.4,41.5,42.2
172896000000.0,3.59,218.3,0.45,45.6,42.5
189319000000.0,3.72,227.5,0.49,45.9,42.15
221758000000.0,3.77,227.7,0.52,44.9,41.8
262942000000.0,3.94,236.7,0.58,45.3,39.8
291383000000.0,3.99,237.4,0.63,43.7,40.3
281710000000.0,4.13,236.5,0.63,45.5,39.6
341105000000.0,4.39,248.7,0.65,46.9,39.4
370819000000.0,4.56,253.5,0.66,48.8,37.5
397558000000.0,4.87,270.6,0.69,51.1,39.3
420333000000.0,4.95,274.8,0.68,53.0,37.8
407339000000.0,5.09,281.6,0.75,53.0,37.0
401296000000.0,5.21,289.7,0.73,55.3,36.0
413366000000.0,5.32,296.4,0.75,57.4,36.9
456357000000.0,5.41,297.1,0.75,58.9,36.5
506611000000.0,5.53,299.6,0.8,59.0,36.4
544264000000.0,5.51,294.3,0.71,59.2,34.9
501644000000.0,5.12,277.1,0.73,54.0,35.55238095238095
2956356984.0,0.1,7.0,0.6921052631578948,2.3,36.2047619047619
3143538482.0,0.12,8.2,0.6542105263157895,2.7,36.857142857142854
3188945512.0,0.12,8.3,0.6163157894736842,2.7,37.509523809523806
3330393310.0,0.13,8.4,0.578421052631579,2.8,38.161904761904765
3664575983.0,0.13,8.7,0.5405263157894737,2.8,38.81428571428572
3864170913.0,0.15,9.6,0.5026315789473684,3.1,39.46666666666667
4244340334.0,0.16,10.8,0.46473684210526317,3.4,40.11904761904762
5043268549.0,0.18,12.2,0.4268421052631579,3.8,40.77142857142857
7662996767.0,0.2,13.3,0.38894736842105265,4.1,41.423809523809524
9496074114.0,0.2,13.4,0.3510526315789474,4.1,42.076190476190476
9298800799.0,0.21,17.7,0.31315789473684214,4.3,42.72857142857143
11050125905.0,0.23,20.2,0.2752631578947369,4.8,43.38095238095238
13139397879.0,0.25,21.1,0.23736842105263162,5.5,44.03333333333333
16358376511.0,0.35,26.0,0.19947368421052636,5.9,44.68571428571428
21213672089.0,0.43,32.9,0.16157894736842104,7.2,45.338095238095235
24488033442.0,0.46,34.8,0.12368421052631584,8.2,45.99047619047619
25004557094.0,0.47,35.2,0.08578947368421064,8.7,46.642857142857146
26804401816.0,0.51,37.0,0.04789473684210532,9.1,47.2952380952381
30346788438.0,0.58,42.2,0.01,9.7,47.94761904761905
33943505718.0,0.63,44.8,0.01,9.5,48.6
31200161095.0,0.63,42.5,0.01,9.5,48.06666666666667
27734562640.0,0.7,43.3,0.01,9.1,47.53333333333333
32181695507.0,0.72,43.5,0.01,9.3,47.0
35271880250.0,0.77,46.4,0.01,10.1,46.6
38848567631.0,0.86,53.3,0.05,10.5,46.2
44024178343.0,0.93,60.6,0.06,12.6,46.7
49143148094.0,1.12,72.3,0.07,13.6,47.2
59167550163.0,1.21,77.3,0.07,14.9,47.7
66894837030.0,1.26,79.0,0.06,16.4,47.96666666666667
74478356958.0,1.38,87.2,0.06,18.0,48.233333333333334
88705342903.0,1.44,89.1,0.07,18.9,48.5
100855000000.0,1.61,100.6,0.07,20.6,48.8
100005000000.0,1.87,116.6,0.07,23.9,49.1
72167498981.0,1.74,107.6,0.07,20.3,48.65
79148421053.0,1.97,121.1,0.08,22.3,48.2
93789736842.0,2.2,133.6,0.1,22.4,47.75
